community_rank,author
1,Dacheng Tao
1,Qiuzhen Lin
1,Sheng Ma
1,Libo Huang
1,Quanquan Gu
1,Shuang Wang 0001
1,Biao Hou
1,Yue Wu 0004
1,Yongzhe Yuan
1,Zheng Wang 0037
1,Licheng Jiao
1,Junwei Han 0001
1,Xiaodan Liang
1,Jiale Cao
1,Xiangjun Zhang
1,Xiaolin Wu 0001
1,Liang Lin
1,Jiwen Lu
1,Hao Zhu 0009
1,Chang Xu 0002
1,Jing Zhao
1,Dingwen Zhang
1,Yueting Zhuang
1,Xuelong Li 0001
1,Shiming Xiang
1,Yi Yang 0001
1,Lingling Li 0002
1,Meng Wang 0001
1,Guo-Jun Qi
1,Yuan Yuan 0001
1,Yanwei Pang
1,Richang Hong
1,Xiaoqian Wang 0001
1,Feiping Nie 0001
1,Junyu Gao 0001
1,Xingxing Xie
1,Gong Cheng 0003
1,Jie Zhou 0001
1,Kun Kuang
1,Rong Jin 0001
1,Xu Tang 0004
1,Wangmeng Zuo
1,David Zhang 0001
1,Weitong Zhang
1,Dongruo Zhou
1,Maoguo Gong
1,Fei Wu 0001
1,Heng Huang
1,Alexander G. Hauptmann
1,Jun Yang 0003
1,Lei Zhang 0006
1,Ruichu Cai
1,Huiyu Zhou 0001
1,Jinhui Tang 0001
1,Rong Wang 0001
1,Zheng-Jun Zha
1,Yunchao Wei
1,Fei Wang 0001
1,Linchao Zhu
1,Weilin Chen 0001
1,Xiangrong Zhang
1,Jing Liu 0001
1,Fang Liu 0001
1,Venice Erin Liong
1,Xiwen Yao
1,Bin Yu 0011
1,Yu Xie 0009
1,Shuyuan Yang 0001
1,Ling Shao 0001
1,Zhifeng Hao
1,Tao Li 0001
1,Qi Tian 0001
1,Jianqiang Li 0001
1,Michael S. Lew
1,Zhitong Xiong
1,Qi Wang 0009
1,Qing Cai
1,Chris H. Q. Ding
1,Heliang Zheng
1,Luo Si
1,Bin Zhao 0001
1,Zijian Li 0001
1,Zhanxuan Hu
1,Jie Feng 0003
1,Jia Liu 0020
1,Fang Liu 0034
1,Nicu Sebe
1,Yangyang Li 0001
1,Chaoyue Wang
1,Hao Li 0009
1,Peng Cui 0001
1,Jiafan He
1,Guanchun Wang
1,Hongyuan Zhang 0001
1,Hua Wang 0007
1,Zedong Tang
1,Wenping Ma 0001
1,Zechao Li
1,Jie Qiao
1,Mulin Chen
1,Rui Zhang 0017
1,Ronghua Shang
1,Xu Liu 0006
1,Xiaolong Fan
1,Xiaoqiang Lu
1,Chen Zhang 0015
1,Xiaohan Wang
1,Qiang Li 0042
1,Wen Wen
1,Jingjing Ma 0001
1,Zhixi Feng
1,Guangyi Chen 0002
1,Feng Xie 0002
1,Xintao Hu
1,Lijia Ma
1,Jie Yu 0001
1,Rong Yan
1,Yan Zeng 0002
1,Xianghai Cao
1,Yanqiao Chen
1,Min Wang 0007
1,Ira Cohen
1,Xiangtao Zheng
1,Jie Chen 0027
1,Wenhua Zhang
1,Zhengming Chen 0002
1,Yongsheng Dong
1,Pan Xu 0002
1,Junlin Hu 0001
1,Wei Chen 0103
1,Wei-Hao Lin 0003
1,Lixia Yang
1,Jin Xie 0005
2,Xiaohu You 0001
2,Chao Qiu
2,Geoffrey Ye Li
2,Feng Li 0008
2,Xiuhua Li
2,Caihong Kai
2,Xin Liu 0009
2,Yuanwei Liu
2,Haipeng Yao
2,Peiying Zhang 0001
2,Caijun Zhong
2,Wanming Hao
2,Nan Zhao 0001
2,Chuan Zhang 0001
2,Yuan Wu 0001
2,Li Wang 0041
2,Yu Zhang 0015
2,Weidang Lu
2,Zheng Chu 0001
2,Jingyu Hua
2,Chongjun Ouyang
2,Haozhi Cao
2,Dongming Wang 0002
2,Xidong Mu
2,Fuhui Zhou
2,Guoxing Huang
2,Xiaofei Wang 0001
2,Chenyang Wang 0001
2,Zhijin Qin
2,Ming Zeng 0002
2,Zhaoyang Zhang 0001
2,Jing Jiang 0004
2,Zhenyu Na
2,Redha M. Radaydeh
2,Kefeng Guo
2,Shiwen He
2,Yongming Huang 0001
2,Liang Huang 0006
2,Minghui Liwang
2,Seyyedali Hosseinalipour
2,Yuzhen Huang 0001
2,Kai Wang 0036
2,Jianfei Yang
2,Pengcheng Zhu 0001
2,Chao Wang 0093
2,Ning Chen 0011
2,Richeng Jin
2,Zhengyu Zhu 0001
2,Bin Sheng 0003
2,Cheng-Xiang Wang 0001
2,Fawaz S. Al-Qahtani
2,Wei Huang 0010
2,Chenhao Qi 0001
2,Nian Liu 0002
2,Yuecong Xu
2,Min Wu 0008
2,Wangbo Zhao
2,Hao Xu 0020
2,Zhipeng Cheng
2,Zhaolin Wang 0001
2,Zhenghua Chen
2,Lan Tang
2,Xingwang Li 0001
2,Xiao Liu 0018
2,Li Ping Qian 0001
2,Jiaqi Xu
2,Xiaofan He
2,Ali Rahmati
2,Jiamin Li 0001
2,Hongjian Sun 0001
2,Huazi Zhang
2,Gangcan Sun
2,Han Zou
3,Giansalvatore Mecca
3,Matthias Lanzinger
3,Thomas Eiter
3,Georg Gottlob
3,Nicola Leone
3,Andrea Tagarelli
3,Simona Perri
3,Bhavani Thuraisingham
3,Dinesh C. Verma
3,Seraphin B. Calo
3,Dan Lin 0001
3,Elisa Bertino
3,Gianluigi Greco
3,Luigi Palopoli 0001
3,Vijayalakshmi Atluri
3,Anna Cinzia Squicciarini
3,Soon Ae Chun
3,Francesco Ricca
3,Christopher Griffin 0001
3,Riccardo Torlone
3,Paolo Atzeni
3,Paolo Papotti
3,Marco Manna
3,Sergio Greco
3,Magdalena Ortiz 0001
3,Luigi Bellomarini
3,Paolo Cappellari
3,Giorgio Terracina
3,Federica Paci
3,Smitha Sundareswaran
3,Kevin W. Hamlen
3,Luca Cabibbo
3,Danilo Montesi
3,Nabil R. Adam
3,Wolfgang Faber 0001
3,Roberto Interdonato
3,Aabhas V. Paliwal
3,Vandana Pursnani Janeja
4,Admir Barolli
4,Leonard Barolli
4,Makoto Ikeda
4,Masahiro Hiyama
4,Tetsuya Oda
4,Mimoza Durresi
4,Donald Elmazi
4,Keita Matsuo
4,Ermioni Qafzezi
4,Shinji Sakamoto
4,Kevin Bylykbashi
4,Fatos Xhafa
4,Evjola Spaho
4,Arjan Durresi
4,Vamsi Paruchuri
4,Thanasis Daradoumis
4,Giuseppe De Marco
4,Kosuke Ozera
4,Elis Kulla
4,Yi Liu 0011
4,Seiji Ohara
4,Phudit Ampririt
4,Santi Caball
4,Miralda Cuka
4,Akio Koyama
4,David Gan
4,Vladi Kolici
4,Takaaki Inaba
4,Joanna Kolodziej
4,Ryoichiro Obukata
4,Shunya Higashi
4,Fumio Arakawa
4,Jordi Conesa
4,Taiki Honda
5,Stefano Ferilli
5,Teresa Maria Altomare Basile
5,Roberto Corizzo
5,Pasquale Lops
5,Marco de Gemmis
5,Michelangelo Ceci
5,Fabio Fumarola
5,Cataldo Musto
5,Fedelucio Narducci
5,Giovanni Semeraro
5,Berardina De Carolis
5,Marco Degemmis
5,Anna Ciampi
5,Donato Malerba
5,Annalisa Appice
5,Lucia Siciliani
5,Pierpaolo Basile
5,Floriana Esposito
5,Annalina Caputo
5,Francesca A. Lisi
5,Nicola Fanizzi
5,Marenglen Biba
5,Nicola Di Mauro
5,Eleonora Bernasconi
5,Domenico Redavid
5,Pierluigi Cassotti
5,Davide Di Pierro
5,Claudia d'Amato
5,Marco Polignano
5,Corrado Loglisci
5,Fiorella de Rosis
5,Andrea Pazienza
5,Antonio Vergari
6,Ximeng Liu
6,Feng Xia 0001
6,Xiangjie Kong 0001
6,Shengshan Hu
6,Kui Ren 0001
6,Qian Liu
6,Wei Wang 0077
6,Yang Yang 0026
6,Xiaofeng Chen 0001
6,Jinbo Xiong
6,Minghui Li
6,Shengli Liu 0001
6,Zhibo Wang 0001
6,Qian Wang 0002
6,Jin Li 0002
6,Fangguo Zhang
6,Jingwei Li 0001
6,Honglong Chen
6,Jian Weng 0001
6,Haifeng Liu
6,Zhiguo Gong
6,Zheli Liu
6,Wei Wan
6,Haibo Tian
6,Shuo Yu 0001
6,Yechao Zhang
6,Guojiang Shen
6,Qi Li 0011
6,Mingliang Hou
6,Xiaoyi Pang
7,Philippe Fournier-Viger
7,Wensheng Gan
7,Vincent S. Tseng
7,Jerry Chun-Wei Lin
7,Youcef Djenouri
7,Yu-Chuan Tsai
7,Tzung-Pei Hong
7,Jiahui Chen 0002
7,Chien-Ming Chen 0001
7,Shicheng Wan
7,Shyue-Liang Wang
7,Usef Faghihi
7,Gautam Srivastava 0001
7,Yeong-Chyi Lee
7,Yuh-Min Tseng
7,Hung-Min Sun
7,Ja-Hwung Su
7,Wen-Yang Lin
7,Chun-Wei Lin 0001
7,Asma Belhadi
7,Guo-Cheng Lan
7,Jimmy Ming-Tai Wu
7,Tung-Tso Tsai
7,Chun-Hao Chen
7,Jui-Di Wu
7,Tsu-Yang Wu
7,Ming-Cheng Tseng
8,Emil Bjrnson
8,Luca Sanguinetti
8,Emanuele Grossi
8,George C. Alexandropoulos
8,Marco Di Renzo
8,Petar Popovski
8,Luca Venturino
8,Cedomir Stefanovic
8,Elisabeth de Carvalho
8,Henk Wymeersch
8,Stefano Buzzi
8,Alessio Zappone
8,Michele Morelli
8,Jimmy Jessen Nielsen
8,Nikolaos Pappas 0001
8,Nuno K. Pratas
8,Konstantinos D. Katsanos
8,Aris L. Moustakas
8,Marios Kountouris
8,Musa Furkan Keskin
8,Zheng Chen 0002
8,Antonio A. D'Amico
8,Carmen D'Andrea
8,Wei Lu 0012
8,Athanasios Stavridis 0001
8,Kasper F. Trillingsgaard
9,Jing Han 0010
9,Martin Wllmer
9,Florian Eyben
9,Bjrn W. Schuller
9,Yue Zhang 0014
9,Anton Batliner
9,Zhao Ren
9,Andreas Triantafyllopoulos
9,Alice Baird
9,Panagiotis Tzirakis
9,Alexander Kathan
9,Jun Deng
9,Xinzhou Xu
9,Nicholas Cummins
9,Shahin Amiriparian
9,Kun Qian 0003
9,Zixing Zhang 0001
9,Dejan Arsic
9,Felix Burkhardt
9,Maurice Gerczuk
9,Shuo Liu 0012
9,Felix Weninger
9,Lukas Christ
10,Rafael H. Bordini
10,Marco Mamei
10,Sara Montagna
10,Mirko Viroli
10,Enrico Denti
10,Alessandro Ricci
10,Giorgio Audrito
10,Danilo Pianini
10,Ferruccio Damiani
10,Roberto Casadei
10,Franco Zambonelli
10,Matteo Casadei
10,Andrea Omicini
10,Gianluca Aguzzi
10,Michael Lienhardt
10,Jacob Beal
10,Michele Piunti
10,Olivier Boissier
10,Jomi Fred Hbner
10,Angelo Croatti
10,Andrea Santi
